image:tag,component/library,vulnerability,severity
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,mount,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,ncurses-base,CVE-2022-29458,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,ncurses-base,CVE-2023-29491,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,ncurses-base,CVE-2023-50495,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-0464,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-0465,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-0466,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-2650,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-3446,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-3817,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2023-5678,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2024-0727,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2024-4741,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,openssl,CVE-2024-5535,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,passwd,CVE-2023-4641,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,perl-base,CVE-2020-16156,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,perl-base,CVE-2023-31484,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,perl-base,CVE-2023-47038,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,util-linux,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,zlib1g,CVE-2023-45853,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,Pillow,CVE-2023-50447,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,Pillow,CVE-2023-44271,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,Pillow,CVE-2023-4863,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,Pillow,CVE-2024-28219,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,Pillow,GHSA-56pw-mpj4-fxww,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,certifi,CVE-2023-37920,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,idna,CVE-2024-3651,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,pip,CVE-2023-5752,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,requests,CVE-2023-32681,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,requests,CVE-2024-35195,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,setuptools,CVE-2022-40897,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,setuptools,CVE-2024-6345,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,torch,CVE-2024-31580,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,torch,CVE-2024-31583,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,urllib3,CVE-2023-43804,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,urllib3,CVE-2023-45803,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,urllib3,CVE-2024-37891,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,github.com/opencontainers/runc,CVE-2023-27561,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,github.com/opencontainers/runc,CVE-2024-21626,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,github.com/opencontainers/runc,CVE-2022-29162,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,github.com/opencontainers/runc,CVE-2023-28642,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,github.com/opencontainers/runc,CVE-2024-45310,MEDIUM
